line_n	position_in_line	token	decoded	class
47	5	lkeedy	/ug/+/ts/+/∅/+/od/	GLYPH
47	6	oteedy	OT[od/stellar]+ee[intensif]+/∅/+/od/	OT
47	7	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
47	8	ched	CH[khii/wind]+/∅/	CH
47	9	al	/a/+/ug/	AL
47	10	keam	/ts/+/a/+/m/	GLYPH
48	0	pcheedy	p[article]+CH[khii/wind]+ee[intensif]+/∅/+/od/	P-ART
48	1	qokeo	QO[definiteness]+/ts/+/š/	QO
48	2	l	/ug/	GLYPH
48	3	okeol	ug-eol[extraction-completive]	OK
48	4	keol	/ts/+/š/+/ug/	GLYPH
48	5	dain	/∅/+/a/	GLYPH
48	6	ar	/a/+/k/	GLYPH
48	7	otedy	OT[od/stellar]+/∅/+/od/	OT
48	8	qokedy	qok-ed[def-extraction-classified]	QO
48	9	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
48	10	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
48	11	lchdy	/ug/+/ŋ/+/∅/+/od/	GLYPH
49	0	oteedy	OT[od/stellar]+ee[intensif]+/∅/+/od/	OT
49	1	lchedy	/ug/+/ŋ/+/∅/+/od/	GLYPH
49	2	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
49	3	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
49	4	qokeo	QO[definiteness]+/ts/+/š/	QO
49	5	lchedy	/ug/+/ŋ/+/∅/+/od/	GLYPH
49	6	qokey	QO[definiteness]+/ts/+/od/	QO
49	7	qokeey	QO[definiteness]+/ts/+/od/	QO
49	8	lkedy	/ug/+/ts/+/∅/+/od/	GLYPH
49	9	lkedy	/ug/+/ts/+/∅/+/od/	GLYPH
50	0	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
50	1	lchedy	/ug/+/ŋ/+/∅/+/od/	GLYPH
50	2	lkaiin	/ug/+/ts/+/a/	GLYPH
50	3	chdy	CH[khii/wind]+/∅/+/od/	CH
50	4	qokey	QO[definiteness]+/ts/+/od/	QO
50	5	okedy	ug-ed[extraction-classified]	OK
50	6	okaram	OK[ug/extract]+/a/+/k/+/a/+/m/	OK
50	7	chdar	CH[khii/wind]+dar[FROM]	CH
50	8	ar	/a/+/k/	GLYPH
50	9	okam	OK[ug/extract]+/a/+/m/	OK
